project_name,notice_type,region,notice_date,bid_description,sector_description,link
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,24-jun-2024,"construction of box culverts, crossing pipe culverts and approach road along mongamkulu - korogwe road 14.6 km in nkasi dc","['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297499
nigeria for women project,contract award,none,24-jun-2024,"supply, installation of rice milling equipment and accessories for two (2nos) collectives in zing lga, taraba state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297498
nigeria for women project,contract award,none,24-jun-2024,"supply, installation of rice milling equipment and accessories for two (2nos) collectives in zing lga, taraba state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297505
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,24-jun-2024,construction of crossing culverts and raise embankment along sanya juu - naibili - kia 25.11km road in siha dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297504
madagascar national water project,invitation for bids,madagascar,24-jun-2024,acquisition de fournitures de bureau,"['sanitation', 'water supply', 'other water supply, sanitation and waste management', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297496
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,24-jun-2024,construction of crossing culverts and embankment  raise along kwasadala - mashua 35.06km road in hai dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297495
"georgia i2q - innovation, inclusion and quality",contract award,none,24-jun-2024,"preparation of the detailed design and construction works for lagodekhi municipality, village gvimriani public school","['other education', 'tertiary education', 'public administration - education', 'primary education', 'early childhood education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297492
public financial management improvement project phase 2,contract award,none,24-jun-2024,renewal contract - staffing the cash management department with one accountant (task a - governance sector and economic sector),['central government (central agencies)'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297493
orinoquia integrated sustainable landscapes,contract award,none,24-jun-2024,"prestar servicios profesionales con plena autonomía técnica y administrativa para la gestión jurídica, trámite y ejecución de la ruta de adquisición - compra de un predio urbano en el municipio de cravo norte– departamento de arauca, para la sede del dist","['tourism', 'agricultural markets, commercialization and agri-business', 'forestry', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297500
balochistan human capital investment project,invitation for bids,pakistan,24-jun-2024,it equipment for msd health department.,"['health', 'secondary education', 'primary education', 'public administration - education', 'early childhood education', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297494
central africa regional waterways project,request for expression of interest,central african republic,24-jun-2024,etudes pistes rurales - sélection d'un cabinet pour la réalisation des études détalillées des pistes rurales,"['urban transport', 'social protection', 'public administration - industry, trade and services', 'ports/waterways', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297491
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,24-jun-2024,"construction of rigid pavament, culvert and side drain stone pitching along kiriche - some - kamwala 6.53km road in mwanga dc","['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297501
jordan ozone depleting substances hcfc phase-out project (ods3),contract award,none,24-jun-2024,selection of mechanical engineer,"['other industry, trade and services', 'public administration - industry, trade and services', 'central government (central agencies)', 'other industry, trade and services', 'central government (central agencies)']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297490
armenia social protection administration ii project,contract award,none,24-jun-2024,"procurement of household appliances  for he residents of the disaster zone in lori marz and  ""dzorak"" center for the care of persons with mental health problems","['social protection', 'public administration - social protection', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297489
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,24-jun-2024,construction of multi cell box culvert  along justine - changómbe - paulo njau 5.99km  road in rombo dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297487
ci-infrastructure for urban development and competitiveness of second cities,contract award,none,24-jun-2024,achat de mobilier pour la mairie de bouake dans le cadre de l’aménagement de l’hôtel de ville de bouaké,"['urban transport', 'agricultural markets, commercialization and agri-business', 'sub-national government', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297486
kenya covid-19 health emergency response project,contract award,none,24-jun-2024,"procure 100 pillows with covers, 200 blankets, 200 pairs of bed sheets (large), 200 draw sheets, 40 window curtain rails and 40 hospital window curtains for mama lucy hospital","['health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297485
public financial management improvement project phase 2,contract award,none,24-jun-2024,storage server for ministry of finance,['central government (central agencies)'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297483
cambodia: solid waste and plastic management improvement project,contract award,none,24-jun-2024,vehicle,['waste management'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297484
"georgia i2q - innovation, inclusion and quality",contract award,none,24-jun-2024,reconstruction/rehabilitation of village tchitatskari public school in zugdidi municipality,"['other education', 'tertiary education', 'public administration - education', 'primary education', 'early childhood education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297488
west bengal building state capability for inclusive social protection operation,request for expression of interest,india,24-jun-2024,"project management unit (pmu) for women employment platform, for two years. full time: state project manager, deputy project manager, monitoring learning and evaluation specialist and project associates (3), 13 days a month : 6 specialists.","['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297482
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,"c/o of foot bridges (approx. 3 nos.) under dpo, chamba to improve connectivity of the farmers from poor accessibility areas with the markets for supply of inputs and sale of produce to be executed through contractors on competitive basis","['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297481
public financial management improvement project phase 2,contract award,none,24-jun-2024,it system analyst to support revenue/tax departments within the ministry of finance,['central government (central agencies)'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297479
senegal covid-19 response project,contract award,none,24-jun-2024,selection d'un prestataire pour la reprographie rapport final de l'evaluation externe conjointe (jee) au sénégal avec tous les acteurs multisectoriels.,"['public administration - health', 'health', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297480
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,"c/o of foot bridges (approx. 3 nos.) under dpo, chamba to improve connectivity of the farmers from poor accessibility areas with the markets for supply of inputs and sale of produce to be executed through contractors on competitive basis","['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297477
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,"c/o of foot bridges (approx. 3 nos.) under dpo, chamba to improve connectivity of the farmers from poor accessibility areas with the markets for supply of inputs and sale of produce to be executed through contractors on competitive basis","['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297478
cote d'ivoire youth employment and skills development project - phase 3,request for expression of interest,cote d'ivoire,24-jun-2024,"recrutement d’un consultant firme pour la réalisation des études architecturales, techniques et de redimensionnement du nouveau centre de formation professionnelle et technique de tengrela","['social protection', 'public administration - education', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297474
access governance & reform for the electricity and water sectors project,request for expression of interest,"congo, democratic republic of",24-jun-2024,elaboration du plan d’actions de réinstallation (par) pour les travaux d’alimentation en eau potable de la ville de kananga,"['public administration - water, sanitation and waste management', 'energy transmission and distribution', 'water supply', 'other energy and extractives', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297473
regional sahel pastoralism support project ii,contract award,none,24-jun-2024,"acquisition des olivitasol ou équivalent, sachet de 15g et natron, sac de 50kg dans la province de hadjer lamis","['social protection', 'workforce development and vocational education', 'livestock', 'public administration - agriculture, fishing & forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297475
cote d'ivoire youth employment and skills development project - phase 3,request for expression of interest,cote d'ivoire,24-jun-2024,recrutement d'un consultant firme pour un appui technique aux régions et districts en vue du déploiement et du suivi des activités d’entreprenariat et d'apprentissage en milieu rural,"['social protection', 'public administration - education', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297472
nigeria rural access and agricultural marketing project,contract award,none,24-jun-2024,consultancy services for the engagement of an individual consultant for the preparation of resettlement action plan(rap) for 12nos roads for backlog maintenance /rehabilitation of rural roads across 12 lga in ekiti state(phase i),"['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297471
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,"c/o of foot bridges (approx. 3 nos.) under dpo, chamba to improve connectivity of the farmers from poor accessibility areas with the markets for supply of inputs and sale of produce to be executed through contractors on competitive basis","['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297476
sri lanka agriculture sector modernization project,contract award,none,24-jun-2024,construction of a guava collecting center in north central province.,"['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297470
climate smart irrigated agriculture project,contract award,none,24-jun-2024,"procurement of 1750 kg cowpea,150kg finger millets for seed production and crop diversification programme in 2024 yala season - north central province - csiap","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297469
program to accelerate agrarian reform (one map project),contract award,none,24-jun-2024,strengthening of local land offices (renovation of archive buildings) construction activities kampar district riau,"['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297468
sri lanka agriculture sector modernization project,contract award,none,24-jun-2024,"renovating canal system and agriculture road drainage canal and constructing anicut in nachchaduwa, anuradhapura district, north central province","['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297467
sri lanka agriculture sector modernization project,contract award,none,24-jun-2024,"construction of 20 growing houses for mushroom growers in anuradhapura district, north central province","['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297466
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297465
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297463
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297464
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297461
tunisia-italy power interconnector - project preparation ta,contract award,none,24-jun-2024,étude environnementale et sociale et plan d'action de réinstallation du poste tht/ht de grombalia2,"['energy transmission and distribution', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297457
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,"c/o of foot bridges (approx. 3 nos.) under dpo, chamba to improve connectivity of the farmers from poor accessibility areas with the markets for supply of inputs and sale of produce to be executed through contractors on competitive basis","['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297460
bangladesh road safety project,contract award,none,24-jun-2024,social safeguard advisor,"['rural and inter-urban roads', 'other transportation', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297462
chad - refugees and host communities support project,contract award,none,24-jun-2024,equipements de 6 écoles construites dans les provinces du mandoul et du moyen chari en 2023,"['social protection', 'other water supply, sanitation and waste management', 'health facilities and construction', 'primary education', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297459
senegal covid-19 response project,contract award,none,24-jun-2024,acquisition de tablettes pour la digitalisation de la campagne de distribution en masse de médicaments (mda).,"['public administration - health', 'health', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297456
zanzibar judicial modernization project (zi-jump),general procurement notice,tanzania,24-jun-2024,none,[],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297458
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297455
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297454
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297453
access governance & reform for the electricity and water sectors project,request for expression of interest,"congo, democratic republic of",24-jun-2024,elaboration de l’étude d’impact environnemental et social (eies) relative aux travaux prioritaires d’amélioration du système d’alimentation en eau potable de la ville de kananga,"['public administration - water, sanitation and waste management', 'energy transmission and distribution', 'water supply', 'other energy and extractives', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297449
nigeria for women project,contract award,none,24-jun-2024,procurement and installation of starlink internet facility for akspcu office,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297451
africa cdc regional investment financing project,contract award,none,24-jun-2024,senior health economist,"['health', 'public administration - health', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297450
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297452
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297446
climate smart irrigated agriculture project,contract award,none,24-jun-2024,"procurement of 1750 kg cowpea,150kg finger millets for seed production and crop diversification programme in 2024 yala season - north central province - csiap","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297448
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297447
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297445
climate resilience and agriculture development project,contract award,none,24-jun-2024,it equipment for pmt,"['public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'livestock', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297443
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297444
chad rural mobility and connectivity project,invitation for bids,chad,24-jun-2024,acquisition d'équipements pour l’entretien communautaire des pistes rurales par la méthode dite de haute intensité de  main d’œuvres (himo) dans le cadre de la deuxième phase des travaux routiers,"['rural and inter-urban roads', 'social protection', 'other transportation', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297441
health enhancement and lifesaving (heal) ukraine project,contract award,none,24-jun-2024,supply and installation of photovoltaic (pv) power plants for healthcare facilities,"['health facilities and construction', 'health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297442
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,24-jun-2024,raising of  plantations  (apprx.70 ha.)  in the year 2023-24 in the entire district.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297439
