project_name,notice_type,region,notice_date,bid_description,sector_description
Nepal Strategic Road Connectivity and Trade Improvement Project,Invitation for Bids,South Asia,18-Jun-2024,Server Equipments for LIMS,"Rural and Inter-Urban Roads,Public Administration - Transportation,Trade"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,"SES Officer (Social Safeguards, Envi Safeguards)","Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,"SES Officer (Social Safeguards, Envi Safeguards)","Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Construction of vented drift, two cell box culverts and embarkment rise along Chang'ombe-Magamba road 14.6Km in Songwe DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Admin Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Comoros Solar Energy Access Project,Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,"Conception, installation et mise en service d’un système informatique de gestion à la Société Nationale d’Électricité des Comores (SONELEC)","Renewable Energy Solar,Other Energy and Extractives,Public Administration - Energy and Extractives"
OPSIL UAT Test Project - Connectivity for Rural Livelihood Improvement Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Travaux confortatifs pour la protection des berges de 04 ponts nouvellement construits sur la RN 44, Phase 2 (PK 60 à PK133)","Rural and Inter-Urban Roads,Public Administration - Transportation,ICT Infrastructure"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Admin Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Administrative Officer I,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Administrative Officer I,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Climate-Resilient and Inclusive Livelihoods Project (ProClimat Congo),Contract Award,Western And Central Africa,18-Jun-2024,Contractualisation par entente directe entre le ProClimat et le PAM pour répondre aux besoins immédiats en matière de sécurité alimentaire et nutritionnelle.,"Other Public Administration,Sub-National Government,Public Administration - Agriculture, Fishing & Forestry"
Community-Based Recovery and Stabilization Project for the Sahel,Contract Award,Western And Central Africa,18-Jun-2024,RECRUTEMENT D’UN EXPERT EN STABILISATION ET GESTION DES CATASTROPHES (RESPONSABLE DE LA COMPOSANTE 1) BASE AU BUREAU DE COORDINATION DU PCRSS A NIAMEY,"Water Supply,Sub-National Government,Social Protection,Other Agriculture, Fishing and Forestry,ICT Infrastructure"
Uganda Investing in Forests and Protected Areas for Climate-Smart Development Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Training of the Batwa people in livelihood intervention and Enterprise Development,"Forestry,Public Administration - Agriculture, Fishing & Forestry,Tourism"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of Rice Milling Shed for Five (5no) Women Collectives in Wushishi L G A II in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Connecting Madagascar for Inclusive Growth,Contract Award,Eastern And Southern Africa,18-Jun-2024,Recrutement VBG  PCMCI -RN 10 pour 05 ans,"Rural and Inter-Urban Roads,Public Administration - Transportation"
Higher Education Project,Contract Award,Europe And Central Asia,18-Jun-2024,"Consultancy in developing the curricula of the university course and teaching support: 
Didactics of biology from the perspective of inter- and transdisciplinarity","Tertiary Education,ICT Services,Public Administration - Education"
Social Protection Enhancement Project,Contract Award,Middle East And North Africa,18-Jun-2024,Project Financial Audit (3)- Contract Renewal,"Social Protection,Public Administration - Social Protection"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Construction of new box culvert and approach roads along Mwankuba - Kinaga road 15.4 Km in Msalala DC.,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procurement of Industrial and Finishing Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Construction of Crossing culverts, raise embarkment and gravelling along Mlowo-Mpito- Isansa road  13.1Km in Mbozi DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Finance Analyst I,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Higher Education Project,Contract Award,Europe And Central Asia,18-Jun-2024,"Consultancy in developing the curricula of the university course and teaching support: 
Didactics of mathematics","Tertiary Education,ICT Services,Public Administration - Education"
NATIONAL AGRICULTURAL VALUE CHAIN DEVELOPMENT PROJECT (NAVCDP),Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,"supply and delivery of five desk top computers for M&E, CPRO, CPA, CPC, and CPAA. to replace those stolen under NARIGP","Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business"
Food and Nutrition Security Enhancement Project,Contract Award,South Asia,18-Jun-2024,Annual Outcome survey of FANSEP,"Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Health,Public Administration - Agriculture, Fishing & Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Finance Analyst I,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Construction of Box culverts. Approach roads and raise embarkment along Mimbi - Ikota road 14.9 Km in Shinyanga DC.,"Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procurement of Local Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procurement of Finishing Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Administrative Officer II,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Barwaaqo - Somalia Water for Rural Resilience Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Rahabiliatation of ""Aw-barkhadle and Labi-Sagaale"" Dams","Water Supply,Agricultural markets, commercialization and agri-business,Livestock,Other Public Administration"
Tanzania Roads to Inclusion and Socioeconomic Opportunities (RISE) Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Construction of mult Cells Box culvert,  raise embarkment and Gravelling along Ikumbilo- Ilanga road 5.1Km in Ileje DC","Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation"
Commercialization and De-Risking for Agricultural Transformation Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,"Hiring a Consultancy firm to carry out an Environmental Social Impact Assessment (ESIA) & Environmental and Social Management Plans (ESMPS) for Kanyegenyege, Runukangoma and Makera marshlands","Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Finance Analyst III/Finance Soecialist,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Commercialization and De-Risking for Agricultural Transformation Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Hiring a Consultancy firm to carry out an Environmental Social Impact Assessment (ESIA) & Environmental and Social Management Plans (ESMPS) for Matimba and Kagitumba irrigation schemes,"Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
JSDF-Djibouti: Promoting Women's and Community Resilience in the Fight Against Gender-Based Violence,Contract Award,Middle East And North Africa,18-Jun-2024,Acquisition logiciel de comptabilité,"Social Protection,Health,Workforce Development and Vocational Education"
Water Supply and Sanitation Acceleration Project,Request for Expression of Interest,East Asia And Pacific,18-Jun-2024,Consultancy Services for Preparation of Sanitation Plan and Feasibility Study; Detailed Engineering Design and Construction Supervision for Improvement in Wastewater Management and Sanitation and Communication for sewer connections and uptake of FSM,"Water Supply,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Dedicated Grant Mechanism for Indigenous Peoples and Local Communities in Nepal,Contract Award,South Asia,18-Jun-2024,Air conditioner-2 and Vacuum Cleaner (Madhesh and Lumbini Province),"Forestry,Public Administration - Agriculture, Fishing & Forestry"
Transforming Landscapes for Resilience and Development in Zambia,Contract Award,Eastern And Southern Africa,18-Jun-2024,Supply and Delivery of Three Motor Cycles for Lavushimanda and Lusenga Plains National Parks,"Other Water Supply, Sanitation and Waste Management,Other Agriculture, Fishing and Forestry,Forestry,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Removal and Replacement of Floor Tiles at UEDCL Tower on the Second and Fourth Floor for the UCREPP Offices,"Public Administration - Health,Health,Health Facilities and Construction"
Transforming Landscapes for Resilience and Development in Zambia,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procure (90) Uniforms for CRB and DNPW Officers- MOTA,"Other Water Supply, Sanitation and Waste Management,Other Agriculture, Fishing and Forestry,Forestry,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
Community-Based Recovery and Stabilization Project for the Sahel,Invitation for Bids,Western And Central Africa,18-Jun-2024,Acquisition de semences potagères pour les cultures maraichères 2024,"Water Supply,Sub-National Government,Social Protection,Other Agriculture, Fishing and Forestry,ICT Infrastructure"
Economic Transformation for Inclusive Growth Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,RESPONSABLE DU VOLET AMELIORATION DES INVESTISSEMENTS ET DU CLIMAT DES AFFAIRES,"Public Administration - Industry, Trade and Services,Tourism,Agricultural markets, commercialization and agri-business,Sub-National Government,Central Government (Central Agencies)"
Higher Education Project,Contract Award,Europe And Central Asia,18-Jun-2024,Specialized materials for training of people with special educational requirements,"Tertiary Education,ICT Services,Public Administration - Education"
Tanzania Food Systems Resilience Program,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,CONSULTANCY SERVICES FOR DEVELOPMENT AND DEPLOYMENT OF A MONITORING AND EVALUATION MANAGEMENT INFORMATION SYSTEM (M&E MIS),"Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Tanzania Food Systems Resilience Program,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,CONSULTANCY SERVICES FOR THE DEVELOPEMNT OF THE KILIMO APP SYSTEM AND FARMERS REGISTRY,"Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Rural Mobility and Connectivity Project,Contract Award,Western And Central Africa,18-Jun-2024,Acquisition d'équipements informatiques destinés à la  collecte et à la transmission des données des accidents ainsi que pour le soutien au système de gestion des données des accidents,"Rural and Inter-Urban Roads,Public Administration - Transportation"
Madagascar Basic Education Support Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Renforcement de capacité de l'équipe du SG/MEN auprès de deux centres de formation à Madagascar : INSCAE et ENAM,"Early Childhood Education,Primary Education"
Multisectoral Nutrition and Child Development Project,Contract Award,Western And Central Africa,18-Jun-2024,Acquisition de Fourniture de bureau pour le PMNDPE,"Health,Public Administration - Health"
West Bengal Accelerated Development of Minor Irrigation Project - Phase II,Contract Award,South Asia,18-Jun-2024,Procurement of Aromatic Paddy through Single Source Selection (SSS) Process variety of Kalonuniya from  Chapadanga Sabuj Biplob Water Users Association . The Contract will be awarded to Single Source WUA.,"Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry"
Tajikistan Socio-Economic Resilience Strengthening Project,Contract Award,Europe And Central Asia,18-Jun-2024,"Geological reference of subproject СSP-2A-05 to SERSP-1А-82, SERSP-1А-83, SERSP-1А-85, SERSP-1А-88, SERSP-1А-94, of SERSP-1А-07 to SERSP-1А-61.","Social Protection,Sub-National Government,Public Administration - Social Protection"
Climate Smart Irrigated Agriculture Project,Contract Award,South Asia,18-Jun-2024,"Procurement of Printing & supply of 8850 Nos (Sinhala 7110, Tamil 1740) of operation, and maintenance handbook, for use Rehabilitated tanks under the CSIAP","Agricultural markets, commercialization and agri-business,ICT Services,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
West Bengal Accelerated Development of Minor Irrigation Project - Phase II,Contract Award,South Asia,18-Jun-2024,Procurement of Green Manure through Single Source Selection (SSS) Process Dhaincha Seed from  Neora Majhiali Dishari Water Users Association . The Contract will be awarded to Single Source WUA.,"Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry"
Food Systems Resilience Program for Eastern and Southern Africa,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Recrutement d'un Technicien en Informatique au niveau de l'UGP,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procurement of Partitioning works for the second floor and ceiling works for office space for UCREPP Staff,"Public Administration - Health,Health,Health Facilities and Construction"
Food Systems Resilience Program for Eastern and Southern Africa,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Recrutement de cinq (05) Responsables Régionaux en Environnement et Gestion des Ressources Naturelles,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,18-Jun-2024,Purchase of Data Collection Gadget for NIRTIMS and CosMos,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Food Systems Resilience Program for Eastern and Southern Africa,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Recrutement de cinq (05) Assistants en Gestion des Risques Environnementaux et Sociaux Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,18-Jun-2024,Purchase of Office Furniture and Equipment,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of Shea Butter Processing Shed for One (1no) Women Collective in Agaie LGA in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Water Services & Institutional Support II,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Repairing works, supply and installation of equipment and goods for Nacala dam safety management","Water Supply,Public Administration - Water, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,"Procurement, and installation of Rice Milling Machines and other items for three (3 Nos) Collectives in Takum LGA, Taraba State.","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,"Procurement, and installation of Rice Milling Machines and other items for three (3 Nos) Collectives in Takum LGA, Taraba State.","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Tajikistan Socio-Economic Resilience Strengthening Project,Contract Award,Europe And Central Asia,18-Jun-2024,"DED for subprojects SERSP-1A-118, SERSP-1A-118","Social Protection,Sub-National Government,Public Administration - Social Protection"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of 19.1km Itungwa-Mgboko-Amairi-Amaise-Ahiaba Ubi-Nkwoelechi-Omoba Demonstration Road in Abia State,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Madagascar Basic Education Support Project,Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,Achat fournitures d'atelier et de Formation repartis en deux lots (02)  - LOT 1: Fournitures d'atelier - Lot  2 :  Fournitures diverses,"Early Childhood Education,Primary Education"
Uganda COVID-19 Response and Emergency Preparedness Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Procurement of a Video Conferencing and Telephone System for UCREPP Offices,"Public Administration - Health,Health,Health Facilities and Construction"
National Hydrology Project,Contract Award,South Asia,18-Jun-2024,"FURNISHING OF HOSTEL CONSTRUCTION FOR ACCOMMODATION OF TRAINEES AND OFFICIALS IN THE STATE HYDROLOGICAL DATA CENTRE COMPLEX, MANIPUR","Other Water Supply, Sanitation and Waste Management,ICT Services,Public Administration - Water, Sanitation and Waste Management,Public Administration - Agriculture, Fishing & Forestry"
Higher Education Project,Contract Award,Europe And Central Asia,18-Jun-2024,Elaboration of the analysis study for the improvement of 10 study programs in the field of Education Sciences,"Tertiary Education,ICT Services,Public Administration - Education"
"Côte d'Ivoire Health, Nutrition, and Early Childhood Development Program",Request for Expression of Interest,Western And Central Africa,18-Jun-2024,Recrutements de 8 Assistants locaux aux opérations dans les régions d'interventions,"Health,Public Administration - Health,Health Facilities and Construction"
Madagascar Basic Education Support Project,Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,Achats de logiciels et licences,"Early Childhood Education,Primary Education"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,18-Jun-2024,"Acquisition de Vamisole ou équivalent, boite de 100 Bolus, stoptic ou équivalent, flacon de 100ML dans la Province du Kanem","Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,18-Jun-2024,Contratación de Consultoria Individual Coordinador del Componente 2 del Proyecto (3CV),"Health Facilities and Construction,Public Administration - Health,Health"
Tajikistan Socio-Economic Resilience Strengthening Project,Contract Award,Europe And Central Asia,18-Jun-2024,"Geological reference of subproject СSP-2A-05 to SERSP-1А-72, SERSP-1А-74, SERSP-1А-75, SERSP-1А-76, of SERSP-1А-07 to SERSP-1А-71.","Social Protection,Sub-National Government,Public Administration - Social Protection"
Social Support for Resilient Livelihoods Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,HIRING OF DISTRICT PROJECT FACILITATOR - CHITIPA DISTRICT,"Social Protection,Public Administration - Social Protection"
